City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Yulara,AU,-25.2406,130.9889,60.64,44,0,20.71,clear sky
127,Port Blair,IN,11.6667,92.75,82.44,89,75,2.3,moderate rain
128,Arifwala,PK,30.294,73.0735,103.32,14,2,6.49,clear sky
129,Luderitz,NA,-26.6481,15.1594,60.84,58,100,12.53,overcast clouds
130,Pudozh,RU,61.8099,36.5345,40.84,91,100,6.08,overcast clouds
131,Marawi,PH,7.9986,124.2928,79.25,78,94,3.0,overcast clouds
132,San Cristobal,VE,7.7669,-72.225,66.18,95,89,2.26,overcast clouds
133,Sharjah,AE,25.3573,55.4033,86.25,72,0,5.77,clear sky
134,Tabursuq,TN,36.4569,9.2475,63.7,59,42,1.45,scattered clouds
135,Vezirkopru,TR,41.1436,35.4547,63.09,95,63,2.62,broken clouds
136,Quatre Cocos,MU,-20.2078,57.7625,74.08,86,94,9.33,light rain
137,Tiksi,RU,71.6872,128.8694,33.1,96,100,14.41,overcast clouds
138,Banjar,ID,-8.19,114.9675,84.06,64,94,2.66,overcast clouds
139,Castro,BR,-24.7911,-50.0119,69.15,66,51,15.23,broken clouds
140,Shache,CN,38.4167,77.2406,84.0,16,0,8.95,clear sky
141,Bengkulu,ID,-3.8004,102.2655,75.25,93,100,2.91,overcast clouds
142,Fortuna,US,40.5982,-124.1573,56.93,66,1,1.99,clear sky
143,Saint-Philippe,RE,-21.3585,55.7679,68.22,77,25,2.73,scattered clouds
144,Kulhudhuffushi,MV,6.6221,73.07,83.28,73,14,20.49,few clouds
145,Anloga,GH,5.7947,0.8973,82.62,83,97,7.52,overcast clouds
146,Volterra,IT,43.4003,10.86,54.79,84,76,1.9,broken clouds
147,Lompoc,US,34.6391,-120.4579,66.38,82,90,10.36,overcast clouds
148,Hami,CN,42.8,93.45,84.07,19,91,14.12,overcast clouds
149,Arraial Do Cabo,BR,-22.9661,-42.0278,73.42,91,63,27.47,broken clouds
150,Ust-Uda,RU,54.1742,103.0304,47.34,61,100,10.65,overcast clouds
151,Ostrovnoy,RU,68.0531,39.5131,34.86,98,87,17.83,light rain
152,Khurda,IN,20.1833,85.6167,87.78,59,10,11.86,clear sky
153,Belle Fourche,US,44.6714,-103.8522,68.65,61,80,8.05,broken clouds
154,Qom,IR,34.6401,50.8764,81.59,18,0,1.16,clear sky
155,Katsuura,JP,35.1333,140.3,77.23,79,100,22.39,overcast clouds
156,Preobrazheniye,RU,42.9019,133.9064,49.86,93,100,2.28,overcast clouds
157,Chuy,UY,-33.6971,-53.4616,55.17,90,24,8.84,few clouds
158,Yerofey Pavlovich,RU,53.9667,121.9667,55.53,57,96,4.56,light rain
159,Geraldton,AU,-28.7667,114.6,64.81,94,75,14.83,light rain
160,Touros,BR,-5.1989,-35.4608,76.1,91,61,10.31,broken clouds
161,Payakumbuh,ID,-0.2202,100.6308,79.7,78,98,2.33,overcast clouds
162,San Pedro De Uraba,CO,8.2752,-76.3764,73.24,92,100,6.4,overcast clouds
163,Zhigansk,RU,66.7697,123.3711,54.97,53,0,15.95,clear sky
164,Egvekinot,RU,66.3167,-179.1667,37.81,58,5,11.18,clear sky
165,Cherskiy,RU,68.75,161.3,59.2,30,75,14.63,broken clouds
166,Berlevag,NO,70.8578,29.0864,35.55,74,100,22.15,overcast clouds
167,Ahipara,NZ,-35.1667,173.1667,57.9,74,79,14.5,broken clouds
168,Canosa Di Puglia,IT,41.2196,16.0675,58.59,52,10,5.32,clear sky
169,Bac Lieu,VN,9.285,105.7244,87.37,65,43,7.4,scattered clouds
170,Sao Filipe,CV,14.8961,-24.4956,72.57,78,6,11.74,clear sky
171,Verkhoyansk,RU,67.5447,133.385,54.32,46,41,16.33,scattered clouds
172,Vila,PT,42.0304,-8.1588,54.73,79,55,3.71,broken clouds
173,Orange Cove,US,36.6244,-119.3137,87.85,25,22,4.94,few clouds
174,Altamira,BR,-3.2033,-52.2064,72.12,96,99,2.51,overcast clouds
175,Nikolskoye,RU,59.7035,30.7861,49.89,94,94,5.59,overcast clouds
176,Tromso,NO,69.6496,18.957,39.85,81,75,6.91,broken clouds
177,Perigueux,FR,45.1833,0.7167,62.19,77,100,3.11,overcast clouds
178,Ayna,PE,-12.65,-73.9167,57.58,78,31,3.13,scattered clouds
179,Kota Belud,MY,6.351,116.4305,87.66,82,100,3.42,overcast clouds
180,Ilulissat,GL,69.2167,-51.1,42.82,61,13,2.3,few clouds
181,Artvin,TR,41.1667,41.8333,54.68,75,85,2.75,overcast clouds
182,Haicheng,CN,40.8516,122.7475,70.81,37,31,7.2,scattered clouds
183,Nabire,ID,-3.3667,135.4833,88.5,62,64,4.09,broken clouds
184,Olavarria,AR,-36.8927,-60.3225,48.54,78,59,9.89,broken clouds
185,East London,ZA,-33.0153,27.9116,60.57,63,2,10.65,clear sky
186,Mayo,US,38.8876,-76.5119,67.95,93,90,1.01,light rain
187,Lavumisa,SZ,-27.31,31.892,58.68,93,0,3.06,clear sky
188,Ornskoldsvik,SE,63.2909,18.7153,35.42,93,16,4.25,few clouds
